xcol,ycol,Abbreviation,State,X,Y
1,1,HI,Hawaii,0.866025404,1.5
17,1,FL,Florida,14.72243186,1.5
8,2,TX,Texas,6.92820323,3
16,2,GA,Georgia,13.85640646,3
7,3,NM,New Mexico,6.062177826,4.5
9,3,OK,Oklahoma,7.794228634,4.5
11,3,LA,Louisiana,9.526279442,4.5
13,3,MS,Mississippi,11.25833025,4.5
15,3,AL,Alabama,12.99038106,4.5
17,3,SC,South Carolina,14.72243186,4.5
4,4,CA,California,3.464101615,6
6,4,AZ,Arizona,5.196152423,6
8,4,UT,Utah,6.92820323,6
10,4,KS,Kansas,8.660254038,6
12,4,AR,Arkansas,10.39230485,6
14,4,TN,Tennessee,12.12435565,6
16,4,VA,Virginia,13.85640646,6
18,4,NC,North Carolina,15.58845727,6
24,4,DC,District of Columbia,20.78460969,6
3,5,OR,Oregon,2.598076211,7.5
5,5,NV,Nevada,4.330127019,7.5
7,5,CO,Colorado,6.062177826,7.5
9,5,NE,Nebraska,7.794228634,7.5
11,5,MO,Missouri,9.526279442,7.5
13,5,KY,Kentucky,11.25833025,7.5
15,5,WV,West Virginia,12.99038106,7.5
17,5,MD,Maryland,14.72243186,7.5
19,5,DE,Delaware,16.45448267,7.5
4,6,ID,Idaho,3.464101615,9
6,6,WY,Wyoming,5.196152423,9
8,6,SD,South Dakota,6.92820323,9
10,6,IA,Iowa,8.660254038,9
12,6,IL,Illinois,10.39230485,9
14,6,IN,Indiana,12.12435565,9
16,6,OH,Ohio,13.85640646,9
18,6,PA,Pennsylvania,15.58845727,9
20,6,NJ,New Jersey,17.32050808,9
22,6,CT,Connecticut,19.05255888,9
3,7,WA,Washington,2.598076211,10.5
5,7,MT,Montana,4.330127019,10.5
7,7,ND,North Dakota,6.062177826,10.5
9,7,MN,Minnesota,7.794228634,10.5
11,7,WI,Wisconsin,9.526279442,10.5
15,7,MI,Michigan,12.99038106,10.5
19,7,NY,New York,16.45448267,10.5
21,7,MA,Massachusetts,18.18653348,10.5
23,7,RI,Rhode Island,19.91858429,10.5
20,8,VT,Vermont,17.32050808,12
22,8,NH,New Hampshire,19.05255888,12
1,9,AK,Alaska,0.866025404,13.5
23,9,ME,Maine,19.91858429,13.5
