state,value
AK,"[0.7715369223021465, 0.728544433992032, 0.44481260334781814, 0.9360389680258698]"
AL,"[0.19434960875268625, 0.14097642516194386, 0.4953274645419349, 0.18431607962237762]"
AR,"[0.943493231189958, 0.6712003301989334, 0.7764759537930642, 0.4955531738275639]"
AZ,"[0.9031450356123337, 0.6043442338354329, 0.8540452864361884, 0.6434460151434298]"
CA,"[0.36509189342886716, 0.9819044479819846, 0.45255571934883665, 0.43683835078355626]"
CO,"[0.47159083511562905, 0.3911116734672532, 0.019320889123031093, 0.0803122908726478]"
CT,"[0.0518125903933393, 0.6522431607815679, 0.7548028349855516, 0.7903766768708363]"
DC,"[0.3561639255610247, 0.0639515559926841, 0.020207973104710453, 0.9405345921052398]"
DE,"[0.8258327025931386, 0.5197071019436921, 0.5027673447782824, 0.5472346421795945]"
FL,"[0.8603202708292848, 0.7827281387336263, 0.8924797936005558, 0.7974045648201581]"
GA,"[0.33825524155023534, 0.9632915958995325, 0.36437959915391893, 0.7354479772793625]"
HI,"[0.17906231857367072, 0.9952622330520118, 0.8790826150141435, 0.2817358896929134]"
IA,"[0.499258186629168, 0.6430301624488517, 0.009616352674378215, 0.9973292109676112]"
ID,"[0.28981052830453913, 0.9184940291560626, 0.5926122537727386, 0.21624148664171494]"
IL,"[0.7501096411371948, 0.20719646409083536, 0.9312857191908491, 0.4621359328952668]"
IN,"[0.849754785635486, 0.6625779643361691, 0.6717969250238582, 0.304719210053114]"
KS,"[0.08873690028785053, 0.6385639746304785, 0.4447170914947898, 0.46804143472612136]"
KY,"[0.5625005202773058, 0.07276940657128461, 0.23234738863300697, 0.11000747225888485]"
LA,"[0.5196541866426305, 0.9995518182812086, 0.6610428657853272, 0.3957391003949795]"
MA,"[0.8397380999196344, 0.3780889950243701, 0.6296358388819041, 0.008270990562539215]"
MD,"[0.30700455884998923, 0.18523292705797978, 0.86365588336449, 0.027210922729349774]"
ME,"[0.5780366351805596, 0.10513836863140491, 0.7978238267525225, 0.8169183625270252]"
MI,"[0.5161640799620703, 0.8880301354506195, 0.9711375281319612, 0.26308588911582453]"
MN,"[0.9292777093783473, 0.8628007833843278, 0.14421276802000627, 0.8473920681485106]"
MO,"[0.5154256817120881, 0.20610923316852825, 0.0014544289220990159, 0.5688665007049458]"
MS,"[0.9209542556418643, 0.4687991056007108, 0.7011009547235307, 0.6701472859298376]"
MT,"[0.6281677253695813, 0.9813287852709256, 0.3234712077327865, 0.8793434037733766]"
NC,"[0.8136321755009216, 0.1888187266492668, 0.26277891024139743, 0.7444752218994057]"
ND,"[0.22704653049895895, 0.8580400401751804, 0.4679576045520478, 0.18623430938525098]"
NE,"[0.5209244383817523, 0.35478228385562216, 0.4072560883154639, 0.5341600396342646]"
NH,"[0.3171658821490486, 0.8750823306614297, 0.25393638913347305, 0.26189186383328455]"
NJ,"[0.4266843174962328, 0.9510697212644028, 0.017667120762922428, 0.43778485244694987]"
NM,"[0.26521994084198053, 0.7660172736036641, 0.16809578790528124, 0.317871333815796]"
NV,"[0.8477084202314635, 0.2573895387670795, 0.9516778205211679, 0.2737080777009404]"
NY,"[0.16466734657855453, 0.3628645103989274, 0.13270273727695514, 0.8866415040828088]"
OH,"[0.33938680176926217, 0.5713130651818195, 0.4724873031226712, 0.022785083474803902]"
OK,"[0.6245877462020649, 0.5657981599097666, 0.8243380073257446, 0.24164451759075878]"
OR,"[0.5479178038050391, 0.33968629683614093, 0.37889435230450164, 0.3679455100271959]"
PA,"[0.50798380358722, 0.7033797000087295, 0.18490796983123314, 0.5836760618450767]"
RI,"[0.835456071974137, 0.7741243770085462, 0.8224028359035711, 0.4795283809008468]"
SC,"[0.4661706832668838, 0.9170915084594377, 0.7639183871958833, 0.2415783060293213]"
SD,"[0.5443134042794647, 0.3162397334515442, 0.7116854852031753, 0.8714151697289426]"
TN,"[0.8879204786765126, 0.07446086668341478, 0.6944316427453556, 0.020788898317581017]"
TX,"[0.6574407202903021, 0.7974006471671067, 0.16508572703331792, 0.6161830493443361]"
UT,"[0.05298816497448411, 0.5701565492100957, 0.24327255140393422, 0.3160876349066162]"
VA,"[0.9070835717039373, 0.36375559768468135, 0.9295886253111496, 0.17791463377685657]"
VT,"[0.6427549614931783, 0.5566241033739697, 0.6541618236969529, 0.3012434288062955]"
WA,"[0.41425744351241645, 0.02974824952559274, 0.3063683973756539, 0.8494464206817878]"
WI,"[0.6367062155964205, 0.43055974881085135, 0.9158082614592653, 0.3135585044215885]"
WV,"[0.8664971650258922, 0.024167512672500946, 0.17360543688082253, 0.20786345752933322]"
WY,"[0.26518774528466715, 0.7788648893006317, 0.16677131618290886, 0.036276723687234225]"
