row,col,code,name
6,7,AL,Alabama
7,2,AK,Alaska
5,2,AZ,Arizona
5,5,AR,Arkansas
4,1,CA,California
4,3,CO,Colorado
3,10,CT,Connecticut
4,10,DE,Delaware
7,9,FL,Florida
6,8,GA,Georgia
7,1,HI,Hawaii
2,2,ID,Idaho
2,6,IL,Illinois
3,6,IN,Indiana
3,5,IA,Iowa
5,4,KS,Kansas
4,6,KY,Kentucky
6,5,LA,Louisiana
1,11,ME,Maine
4,9,MD,Maryland
2,10,MA,Massachusetts
2,7,MI,Michigan
2,5,MN,Minnesota
6,6,MS,Mississippi
4,5,MO,Missouri
2,3,MT,Montana
4,4,NE,Nebraska
3,2,NV,Nevada
1,10,NH,New Hampshire
3,9,NJ,New Jersey
5,3,NM,New Mexico
2,9,NY,New York
5,7,NC,North Carolina
2,4,ND,North Dakota
3,7,OH,Ohio
6,4,OK,Oklahoma
3,1,OR,Oregon
3,8,PA,Pennsylvania
3,11,RI,Rhode Island
5,8,SC,South Carolina
3,4,SD,South Dakota
5,6,TN,Tennessee
7,4,TX,Texas
4,2,UT,Utah
1,9,VT,Vermont
4,8,VA,Virginia
2,1,WA,Washington
4,7,WV,West Virginia
1,6,WI,Wisconsin
3,3,WY,Wyoming
5,9,DC,District of Columbia
